,file,predicted 1,predicted 2,predicted 3,x,y,z
4757,503573-O.jpg,INDUSTRIAL AND MANUFACTURING PROCESSES,INTERIOR DESIGN,TOYS,8.715234,2.4135346,5.3849573
4758,503575+576-O.jpg,DOMESTIC APPLIANCES,OTHER,PHOTOGRAPHY,7.159735,1.7213585,5.6561184
4759,503581+582-O (582 crossed out on original packaging).jpg,ENGINEERING,TOYS,TOOLS,7.486582,1.5176708,5.8399687
4760,503583-O.jpg,ENGINEERING,SCIENTIFIC EQUIPMENT,TOOLS,8.335261,1.8465186,5.5111437
4761,503593-O.jpg,INDUSTRIAL AND MANUFACTURING PROCESSES,ENGINEERING,MATERIALS,8.740872,2.2618217,5.177247
4762,503596+597-O.jpg,FURNITURE,INTERIOR DESIGN,ORNAMENTS,11.564399,7.429279,5.8447657
4763,5036+7-O.jpg,FURNITURE,INTERIOR DESIGN,OTHER,10.906509,7.7190604,6.803124
4764,503600+601-O.jpg,FURNITURE,INTERIOR DESIGN,ARCHITECTURE,11.398731,7.342566,6.16965
4765,503602+603-O.jpg,FURNITURE,INTERIOR DESIGN,HEATING,11.023254,7.6986227,5.528777
4766,503604+605-O.jpg,INTERIOR DESIGN,FURNITURE,HEATING,10.936335,7.803914,4.9038634
4767,503606+607-O.jpg,FURNITURE,INTERIOR DESIGN,TEXTILES,10.66046,7.86811,5.1789746
4768,503608+609-O.jpg,FURNITURE,INTERIOR DESIGN,HEATING,11.142092,7.8533616,5.1822805
4769,503612+613-O.jpg,INTERIOR DESIGN,FURNITURE,HEATING,10.013577,7.5055537,3.7291646
4770,503614+615-O.jpg,INTERIOR DESIGN,FURNITURE,HEATING,10.503786,8.031924,4.7279277
4771,503616+617-O.jpg,INTERIOR DESIGN,FURNITURE,HEATING,10.668452,7.883361,4.495087
4772,503618+619-O.jpg,INTERIOR DESIGN,FURNITURE,OTHER,10.53578,7.5977416,4.046934
4773,50362-O.jpg,OFFICE EQUIPMENT,MUSICAL INSTRUMENTS,TELECOMMUNICATIONS,10.152778,2.859131,5.0845017
4774,503620+621-O.jpg,INTERIOR DESIGN,FURNITURE,OPTICAL,10.0949,7.567969,4.2710323
4775,503622+623-O.jpg,INTERIOR DESIGN,FURNITURE,HEATING,10.931479,7.669509,4.1811886
4776,503626+627-O.jpg,FURNITURE,INTERIOR DESIGN,HEATING,11.333957,7.223689,6.2786303
4777,503643+644-O.jpg,TOYS,ORNAMENTS,OTHER,6.5325255,3.4766333,4.8399935
4778,503645-O.jpg,ENGINEERING,SCIENTIFIC EQUIPMENT,TOYS,8.053195,1.5359023,5.625199
4779,503654-O.jpg,TOOLS,OTHER,MUSICAL INSTRUMENTS,7.2735763,0.5685206,7.107102
4780,503655-O.jpg,TOOLS,OTHER,MUSICAL INSTRUMENTS,7.2667036,0.52141285,7.1258845
4781,503656-O.jpg,DOMESTIC APPLIANCES,TABLEWARE,OTHER,6.865351,1.3269267,6.55115
4782,503660+661-O.jpg,SMOKING ACCESSORIES,DESIGN THEORY,TABLEWARE,3.9777155,2.8640049,4.3025417
4783,503662-O.jpg,FURNITURE,INTERIOR DESIGN,DESIGN THEORY,10.860743,7.770456,6.268971
4784,503663+664-O.jpg,FURNITURE,INTERIOR DESIGN,OTHER,11.167051,7.964893,5.507933
4785,503665+666-O.jpg,FURNITURE,INTERIOR DESIGN,CARPETS,11.186362,7.925244,5.396426
4786,503669+670-O.jpg,INTERIOR DESIGN,FURNITURE,HEATING,11.13254,7.6802597,4.155098
4787,503679-O.jpg,FURNITURE,MUSICAL INSTRUMENTS,HEATING,11.057861,6.154376,6.1773744
4788,503684+685-O.jpg,ENGINEERING,INDUSTRIAL AND MANUFACTURING PROCESSES,SCIENTIFIC EQUIPMENT,8.51153,1.8975433,5.1482277
4789,503697+698-O.jpg,TRANSPORT,TELECOMMUNICATIONS,GRAPHICS,9.065934,2.3470232,4.424753
4790,503699+700-O.jpg,TRANSPORT,GRAPHICS,INDUSTRIAL AND MANUFACTURING PROCESSES,9.097593,2.4003177,4.3279877
4791,503701+702-O.jpg,TRANSPORT,INDUSTRIAL AND MANUFACTURING PROCESSES,ENGINEERING,8.975265,2.3071463,4.695748
4792,503703+704-O.jpg,TRANSPORT,INDUSTRIAL AND MANUFACTURING PROCESSES,ENGINEERING,8.958189,2.2574108,4.7288566
4793,503705+706-O.jpg,TRANSPORT,INDUSTRIAL AND MANUFACTURING PROCESSES,ENGINEERING,8.930646,2.2883053,4.771984
4794,503707+708-O.jpg,TRANSPORT,INDUSTRIAL AND MANUFACTURING PROCESSES,ENGINEERING,8.937322,2.297445,4.785586
4795,503716+717-O.jpg,LIGHTING,JEWELLERY,TABLEWARE,7.1009855,1.272246,8.261825
4796,503720+721-O.jpg,TOYS,TRANSPORT,INTERIOR DESIGN,8.645757,3.7919307,3.924398
4797,503722+723-O.jpg,TRANSPORT,INDUSTRIAL AND MANUFACTURING PROCESSES,TOYS,8.719317,3.649148,3.9556468
4798,503729+730-O.jpg,INTERIOR DESIGN,HEATING,FURNITURE,10.48612,7.682381,3.6134033
4799,503735+736-O.jpg,INTERIOR DESIGN,HEATING,DOMESTIC APPLIANCES,10.889969,8.355211,3.1810157
4800,503737+738-O.jpg,TRANSPORT,INDUSTRIAL AND MANUFACTURING PROCESSES,GRAPHICS,9.081248,2.3494036,4.3895073
4801,503747+748-O.jpg,DOMESTIC APPLIANCES,OFFICE EQUIPMENT,TOYS,7.1888704,1.8686978,6.141578
4802,503765-766-O.jpg,TELECOMMUNICATIONS,FURNITURE,HEATING,6.8323293,2.7418091,5.7362337
4803,503769-O.jpg,ENGINEERING,SCIENTIFIC EQUIPMENT,TOOLS,7.981115,1.6027228,5.5913553
4804,503812-813-O.jpg,INDUSTRIAL AND MANUFACTURING PROCESSES,OTHER,ENGINEERING,8.582702,1.9828635,5.00975
4805,503826-827-O.jpg,INDUSTRIAL AND MANUFACTURING PROCESSES,TRANSPORT,ENGINEERING,8.905721,2.285489,4.876242
4806,503862-863-O.jpg,TELECOMMUNICATIONS,HEATING,OTHER,6.945637,2.2211885,5.5069933
4807,504-O 2.jpg,FURNITURE,INTERIOR DESIGN,OTHER,11.627799,7.5939474,7.562307
4808,"5041-O (Dennis Hooker F.I.B.P., F.R.P.S.).jpg",CERAMICS,TABLEWARE,SOUVENIRS,2.3113167,0.4137286,9.841026
4809,5042-O (©CoID).jpg,TOOLS,MUSICAL INSTRUMENTS,TABLEWARE,6.978815,0.28296858,7.226273
4810,5043-O (©CoID).jpg,DOMESTIC APPLIANCES,TABLEWARE,LIGHTING,6.9699244,1.4854879,6.4019017
4811,5044-O (©CoID).jpg,TABLEWARE,ORNAMENTS,CERAMICS,3.226953,-0.58873963,7.0223722
4812,5045-O (©CoID).jpg,TOOLS,TABLEWARE,ORNAMENTS,6.731406,-0.16216843,7.3110347
4813,5047-O + 5048-O (©CoID).jpg,GRAPHICS,WALLPAPER,SOUVENIRS,3.6716807,5.0559306,3.4706573
4814,5049-O (©CoID).jpg,TOOLS,TABLEWARE,OTHER,7.00603,0.61069334,7.2798967
4815,504100+101-O.jpg,SOUVENIRS,GRAPHICS,SMOKING ACCESSORIES,3.3154435,2.767343,4.574192
4816,504103+104-O.jpg,ENGINEERING,TOYS,INTERIOR DESIGN,7.5566864,1.6120495,6.0067525
4817,504114+115-O.jpg,GRAPHICS,SOUVENIRS,SMOKING ACCESSORIES,2.996392,2.9596097,3.5525982
4818,504116+117-O.jpg,GRAPHICS,DESIGN THEORY,SOUVENIRS,3.1105747,2.655671,4.1557617
4819,504118+119-O.jpg,INTERIOR DESIGN,FURNITURE,HEATING,10.560571,7.811931,4.5238028
4820,504120+121-O.jpg,FURNITURE,INTERIOR DESIGN,CARPETS,11.098363,7.6986613,5.8606677
4821,504122-O.jpg,TRANSPORT,TOYS,INDUSTRIAL AND MANUFACTURING PROCESSES,8.847623,2.7587132,4.6548343
4822,504123+124-O.jpg,ENGINEERING,SCIENTIFIC EQUIPMENT,INDUSTRIAL AND MANUFACTURING PROCESSES,8.4903345,2.091444,5.458573
4823,504125-O.jpg,INTERIOR DESIGN,TRANSPORT,FURNITURE,8.893969,3.6825945,3.830578
4824,504126-O.jpg,ENGINEERING,SCIENTIFIC EQUIPMENT,TOOLS,7.9790163,1.5046417,5.7239265
4825,504127+128-O.jpg,TABLEWARE,CERAMICS,OTHER,3.7565172,-0.015514126,8.810042
4826,504129+130-O.jpg,TABLEWARE,CERAMICS,DOMESTIC APPLIANCES,5.0424156,-0.49928793,8.250186
4827,504131-O.jpg,FURNITURE,INTERIOR DESIGN,HEATING,11.017165,7.838845,5.928262
4828,504132+133-O.jpg,FURNITURE,INTERIOR DESIGN,OTHER,10.989884,7.7755184,5.792175
4829,504134-135-O.jpg,FURNITURE,INTERIOR DESIGN,OTHER,11.558362,7.521014,6.628799
4830,504136-137-O.jpg,INTERIOR DESIGN,FURNITURE,OTHER,11.226297,7.509697,3.6391556
4831,504138-O.jpg,FURNITURE,INTERIOR DESIGN,HEATING,10.857418,7.7325883,4.950166
4832,504139-140-O.jpg,FURNITURE,INTERIOR DESIGN,HEATING,10.704447,7.774758,4.634029
